src_ip,dst_ip,src_port,dst_port,protocol,packet_size,duration,packets_sent,packets_received,bytes_sent,bytes_received,syn_flag,ack_flag,fin_flag,rst_flag,label
103.248.241.210,242.187.242.54,28660,25,ICMP,1167,0.493,22,81,5649,8077,1,0,0,0,normal
28.161.168.183,30.101.90.53,51811,443,TCP,838,0.442,93,28,4945,4385,0,1,0,0,normal
231.80.191.201,254.79.159.189,43737,52183,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
138.228.181.66,255.195.144.105,24687,443,UDP,206,2.112,50,65,3541,5898,0,1,0,0,normal
222.76.209.182,112.198.79.254,24101,443,TCP,1159,0.057,493,0,231005,0,1,0,0,0,ddos
249.213.115.109,96.217.9.215,52599,53,TCP,449,0.539,36,19,2032,3238,1,1,1,0,normal
48.64.26.76,17.138.62.121,52034,22,TCP,908,2.21,42,45,3381,1511,1,0,1,0,normal
209.108.143.133,86.95.76.45,30303,80,UDP,166,2.964,27,45,5154,1196,1,1,0,0,normal
253.254.115.199,217.101.83.34,31151,21,ICMP,1111,1.126,66,9,5057,9141,1,0,0,0,normal
75.226.41.116,244.220.167.58,13391,80,UDP,1013,3.935,8,61,2807,8184,1,0,1,0,normal
31.3.84.78,188.203.252.210,20415,443,UDP,1276,4.329,53,38,2580,7260,1,1,1,0,normal
50.4.146.169,160.163.220.13,56271,80,ICMP,569,3.119,67,92,2900,2902,1,0,1,0,normal
55.31.195.187,112.198.79.254,45614,443,TCP,676,0.066,961,0,291342,0,1,0,0,0,ddos
142.146.127.84,20.95.170.100,51079,25,UDP,926,4.914,12,9,6672,3612,1,0,1,0,normal
65.193.8.193,99.249.214.210,11279,443,TCP,1023,0.888,81,59,2363,5627,1,1,0,0,normal
231.80.191.201,254.79.159.189,40698,38112,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
154.81.53.106,74.39.9.234,32078,21,UDP,770,0.289,56,50,8292,5152,0,0,0,0,normal
93.200.100.39,197.94.177.231,26061,22,TCP,1416,4.027,73,61,6322,9267,0,0,1,0,normal
7.160.4.202,112.198.79.254,30116,80,TCP,1064,0.016,521,0,460131,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,45472,13976,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
23.89.21.229,112.198.79.254,5258,443,TCP,1465,0.01,562,0,239885,0,1,0,0,0,ddos
240.11.65.55,242.18.108.124,47386,80,TCP,438,4.279,76,24,1817,7376,1,0,0,0,normal
230.163.111.45,215.146.42.103,40522,443,ICMP,1418,3.873,91,2,7219,9625,0,0,0,0,normal
134.197.108.153,112.198.79.254,22781,443,TCP,609,0.081,437,0,170810,0,1,0,0,0,ddos
144.109.93.96,112.198.79.254,17914,443,TCP,1301,0.056,338,0,412491,0,1,0,0,0,ddos
219.39.231.231,242.244.34.27,21561,25,ICMP,152,1.91,49,34,7793,957,0,0,1,0,normal
235.3.172.191,182.199.245.246,29330,21,UDP,1221,4.939,73,85,5908,1010,1,1,1,0,normal
