src_ip,dst_ip,src_port,dst_port,protocol,packet_size,duration,packets_sent,packets_received,bytes_sent,bytes_received,syn_flag,ack_flag,fin_flag,rst_flag,psh_flag,urg_flag,label
41.220.153.238,119.248.230.254,25943,3306,TCP,394,7.674,78,175,48774,6232,0,1,1,0,0,0,normal
153.216.205.122,97.52.75.116,22833,110,ICMP,667,4.375,197,169,49049,48590,0,0,1,0,1,0,normal
22.114.246.170,66.84.141.236,47338,25,UDP,103,2.018,113,109,20884,36377,0,1,1,0,0,0,normal
124.246.51.187,31.185.98.163,13776,25,ICMP,1386,2.184,6,131,46166,32387,1,1,0,0,1,0,normal
171.174.24.226,13.83.52.14,15722,53,TCP,863,6.331,39,193,48933,9157,0,0,0,0,1,0,normal
214.234.21.129,254.166.40.16,48836,21,ICMP,549,6.196,146,27,21257,42051,1,1,1,0,0,0,normal
225.83.156.220,25.97.210.108,63355,80,ICMP,616,8.075,184,79,8484,35644,0,1,0,0,0,0,normal
152.182.36.100,148.34.223.97,29057,25,ICMP,854,4.0,31,30,14380,7257,0,0,0,0,1,0,normal
110.12.45.210,93.194.87.154,5584,22,TCP,1021,4.343,161,162,31039,47387,1,1,1,0,1,0,normal
105.112.81.7,191.178.36.65,51070,80,UDP,1081,6.592,182,31,15980,9900,1,1,0,0,0,0,normal
96.137.247.97,124.84.84.40,34686,5432,UDP,1303,2.114,191,37,13748,34725,1,0,0,0,0,0,normal
42.31.220.50,166.165.149.41,28252,22,UDP,331,2.968,105,134,4218,48501,1,0,1,0,1,0,normal
22.117.89.24,227.97.216.27,44342,143,ICMP,1128,7.522,35,140,41322,20857,0,0,1,0,1,0,normal
53.45.75.77,228.10.198.25,36041,143,TCP,771,1.656,112,51,34685,33255,1,0,1,0,1,0,normal
86.94.108.152,221.240.134.208,60759,25,ICMP,750,9.461,8,17,38635,12017,0,0,0,0,0,0,normal
133.41.171.221,205.89.231.15,58941,443,UDP,694,6.772,1,191,27028,7997,0,1,1,0,1,0,normal
236.194.210.99,135.163.202.73,42381,21,TCP,187,0.375,13,9,929,104,0,1,0,0,1,0,brute_force
184.215.205.188,14.78.17.199,64367,143,UDP,820,6.977,70,176,9215,48559,1,0,0,0,1,0,normal
207.207.168.40,66.240.184.229,56557,5432,ICMP,393,2.983,112,188,43588,26160,0,1,0,0,0,0,normal
29.65.200.83,75.25.112.90,61066,22,ICMP,1497,7.06,6,24,15177,21497,1,1,0,0,1,0,normal
235.126.35.13,125.74.228.176,38654,22,TCP,392,7.299,136,91,26173,48314,0,1,0,0,0,0,normal
98.89.80.4,178.115.118.208,65264,8080,ICMP,1149,0.081,1933,2,394458,0,0,0,0,0,0,0,ddos
26.254.28.158,178.115.118.208,1499,8080,UDP,636,0.085,596,2,286657,100,0,0,0,0,0,0,ddos
236.194.210.99,135.163.202.73,51053,22,TCP,163,0.97,12,3,1152,692,0,1,0,0,1,0,brute_force
66.156.239.55,79.209.91.167,40099,80,ICMP,435,3.012,181,191,12805,36231,0,0,0,0,0,0,normal
145.100.189.223,122.250.215.75,58873,110,TCP,549,5.93,52,182,43424,44763,1,0,0,0,1,0,normal
236.194.210.99,135.163.202.73,40377,3389,TCP,114,0.727,9,7,328,245,0,1,0,1,1,0,brute_force
220.144.129.217,1.103.176.187,30659,3306,UDP,573,3.28,139,83,37251,1251,1,1,1,0,1,0,normal
153.68.6.3,59.10.254.146,12228,5432,ICMP,1347,5.08,70,164,7022,12694,0,0,0,0,0,0,normal
126.117.37.159,39.154.118.126,27642,53,TCP,1215,2.569,143,135,45736,16427,0,0,1,0,1,0,normal
239.246.0.167,184.224.186.200,44606,21,TCP,529,4.068,192,158,17661,9818,1,0,1,0,1,0,normal
67.93.80.98,4.2.213.156,59889,443,TCP,742,0.302,9,8,3656,609,0,1,0,0,1,0,sql_injection
67.93.80.98,4.2.213.156,42880,443,TCP,526,1.203,9,3,4815,855,0,1,0,0,1,0,sql_injection
241.171.141.164,238.196.239.89,48855,21,UDP,1394,6.566,31,56,35791,46426,0,0,0,0,1,0,normal
67.93.80.98,4.2.213.156,53492,80,TCP,351,1.862,7,2,1021,1115,0,1,0,0,1,0,sql_injection
71.25.134.211,201.235.105.179,59439,53,ICMP,81,9.14,65,6,40751,39060,0,0,0,0,1,0,normal
29.12.203.219,162.0.122.173,43375,23432,TCP,60,0.004,1,0,60,40,1,0,0,1,0,0,port_scan
30.54.171.10,112.231.89.13,59575,143,ICMP,970,7.85,112,160,2994,24139,1,0,0,0,1,0,normal
81.193.141.17,167.14.220.71,27109,53,UDP,974,8.001,173,136,12800,15177,0,0,0,0,1,0,normal
170.168.24.238,214.199.124.59,26585,110,ICMP,223,8.712,183,115,35562,5440,1,1,0,0,0,0,normal
78.236.158.21,135.0.54.8,22603,21,ICMP,605,6.178,34,40,6058,33475,0,0,1,0,0,0,normal
166.198.68.52,50.252.176.75,34778,25,ICMP,872,0.012,96,38,7287,11176,1,0,1,0,0,0,normal
29.12.203.219,162.0.122.173,42417,61264,TCP,60,0.004,1,1,60,40,1,0,0,0,0,0,port_scan
69.87.101.36,194.157.215.206,18580,80,ICMP,1331,2.173,169,44,44832,15527,1,0,1,0,1,0,normal
231.8.70.168,179.213.30.143,24317,110,UDP,624,9.498,49,11,10527,4310,0,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,40442,47429,TCP,60,0.006,1,1,60,40,1,0,0,0,0,0,port_scan
64.3.171.97,166.203.97.10,49346,22,ICMP,257,1.386,189,32,31587,21253,0,1,0,0,0,0,normal
31.0.161.71,178.115.118.208,28860,8080,UDP,1189,0.068,894,1,580264,0,0,0,0,0,0,0,ddos
161.223.66.30,161.66.70.182,53882,22,UDP,142,3.003,29,121,2443,44517,1,1,1,0,1,0,normal
182.164.188.224,178.115.118.208,23205,8080,UDP,1466,0.054,1559,0,67123,100,0,0,0,0,0,0,ddos
113.32.109.222,177.204.65.247,26623,443,UDP,703,4.791,132,96,40392,9361,0,1,1,0,0,0,normal
236.137.36.129,30.122.192.244,60511,5432,ICMP,1021,0.023,3,153,6970,18217,0,0,1,0,0,0,normal
69.220.63.23,1.77.111.30,56470,5432,ICMP,118,1.648,191,120,15125,28946,0,0,1,0,1,0,normal
67.93.80.98,4.2.213.156,40589,443,TCP,674,1.996,20,9,627,1672,0,1,0,0,1,0,sql_injection
232.243.201.32,239.203.9.220,10725,110,UDP,1272,6.784,24,17,21624,6443,0,1,1,0,0,0,normal
236.194.210.99,135.163.202.73,47258,21,TCP,298,0.592,9,9,1153,449,0,1,0,0,1,0,brute_force
185.101.57.41,33.191.7.241,22949,143,UDP,444,8.639,153,143,8613,15600,1,1,1,0,1,0,normal
154.106.206.134,178.115.118.208,28469,8080,UDP,535,0.032,1275,1,645119,100,1,0,0,0,0,0,ddos
67.93.80.98,4.2.213.156,56507,443,TCP,243,1.471,14,7,3251,1576,0,1,0,0,1,0,sql_injection
244.247.248.215,156.88.107.138,55223,21,UDP,268,0.999,189,26,19365,3794,1,1,0,0,1,0,normal
29.12.203.219,162.0.122.173,44410,15503,TCP,60,0.007,1,1,60,0,1,0,0,0,0,0,port_scan
130.185.252.163,130.142.49.131,16528,143,TCP,224,9.152,131,144,41760,33764,0,1,0,0,0,0,normal
94.5.193.179,230.185.51.178,28458,443,ICMP,72,2.002,158,184,48231,18603,1,0,0,0,0,0,normal
46.92.234.56,215.233.11.106,21809,22,UDP,1333,3.765,64,75,27471,38653,0,1,1,0,0,0,normal
79.21.129.55,26.4.192.26,30353,5432,UDP,1180,3.992,104,132,5816,1005,1,0,0,0,1,0,normal
67.93.80.98,4.2.213.156,40383,8080,TCP,990,0.442,11,1,2015,805,0,1,0,0,1,0,sql_injection
90.19.146.132,178.115.118.208,60898,8080,UDP,827,0.004,351,0,451461,100,1,0,0,0,0,0,ddos
29.12.203.219,162.0.122.173,44806,34426,TCP,60,0.004,1,0,60,0,1,0,0,0,0,0,port_scan
192.156.126.74,146.54.90.220,59059,443,UDP,576,4.15,178,186,24005,25369,1,1,0,0,1,0,normal
169.246.162.82,123.148.48.12,54833,80,UDP,691,2.479,38,122,17241,20021,0,1,0,0,0,0,normal
163.188.233.3,216.233.193.133,10499,443,ICMP,1344,3.585,197,92,48014,25428,1,1,1,0,0,0,normal
152.39.169.180,175.41.192.138,32188,21,TCP,354,2.07,53,23,10988,38311,1,1,0,0,0,0,normal
45.247.74.1,46.239.26.101,25531,143,UDP,214,7.128,196,198,23386,42163,1,1,1,0,0,0,normal
71.244.184.75,149.97.79.151,61996,21,TCP,430,3.528,27,147,13211,48717,1,0,0,0,0,0,normal
236.194.210.99,135.163.202.73,58826,3389,TCP,151,0.185,9,9,1063,762,0,1,0,0,1,0,brute_force
237.167.187.47,17.12.193.71,16460,80,TCP,159,4.249,82,20,9286,15609,0,0,1,0,1,0,normal
155.57.144.185,117.128.172.87,30243,22,UDP,954,7.943,42,8,419,37547,0,0,1,0,0,0,normal
132.27.98.148,178.115.118.208,62113,8080,ICMP,1158,0.052,1189,0,873981,0,0,0,0,0,1,0,ddos
35.4.238.13,97.11.175.46,41935,25,UDP,208,8.278,35,195,38571,48798,1,0,1,0,1,0,normal
162.99.120.12,202.122.97.9,57441,143,TCP,1174,0.185,159,45,21209,10478,1,1,1,0,1,0,normal
239.195.92.121,178.115.118.208,18558,8080,ICMP,662,0.06,1448,1,263527,100,1,0,0,0,0,0,ddos
253.176.120.99,14.77.101.17,44373,22,TCP,844,8.138,31,39,44213,17915,0,1,1,0,0,0,normal
136.254.254.192,79.46.184.230,24637,25,UDP,680,6.84,107,8,42648,30530,1,1,0,0,0,0,normal
50.68.165.205,140.159.68.152,26511,143,ICMP,1123,1.946,21,159,41021,37186,1,0,0,0,0,0,normal
246.68.154.42,220.87.22.243,22934,110,TCP,897,9.754,79,7,7878,23417,0,1,0,0,1,0,normal
138.150.215.13,178.115.118.208,46118,8080,ICMP,615,0.043,678,2,430353,100,0,0,0,0,1,0,ddos
29.12.203.219,162.0.122.173,49261,3943,TCP,60,0.008,1,1,60,40,1,0,0,0,0,0,port_scan
199.198.48.149,210.145.250.249,55675,21,UDP,184,4.934,60,3,42060,15454,1,0,0,0,0,0,normal
90.169.178.122,250.140.115.40,48855,110,TCP,1123,6.784,105,123,47537,19858,1,1,1,0,0,0,normal
177.67.96.26,115.109.108.3,33156,143,TCP,499,9.288,100,194,27726,28562,0,1,1,0,0,0,normal
113.18.19.170,55.46.167.66,16069,25,UDP,754,7.147,74,64,23166,21631,1,1,1,0,1,0,normal
254.12.102.148,205.183.113.69,35006,3306,ICMP,1151,1.845,27,67,48906,8298,0,1,1,0,0,0,normal
215.225.131.31,138.175.114.228,11761,22,ICMP,765,1.619,168,107,3364,27352,1,0,1,0,0,0,normal
67.93.80.98,4.2.213.156,43220,8080,TCP,861,1.354,18,7,1937,1435,0,1,0,0,1,0,sql_injection
90.86.115.243,153.7.227.248,49803,22,TCP,1271,8.478,45,58,47466,16562,0,0,1,0,0,0,normal
163.12.194.183,155.181.58.156,60994,5432,UDP,651,4.268,167,49,37625,2880,1,1,1,0,1,0,normal
241.55.36.147,254.234.220.61,28612,3306,ICMP,203,6.035,158,56,6157,28523,0,1,1,0,1,0,normal
143.242.37.111,178.115.118.208,53899,8080,TCP,901,0.033,405,2,460124,0,0,0,0,0,0,0,ddos
60.10.118.208,178.115.118.208,4731,8080,ICMP,1408,0.078,405,1,217804,100,1,0,0,0,0,0,ddos
56.4.122.42,229.18.32.253,30299,443,ICMP,1148,9.811,80,93,29200,6395,0,0,1,0,1,0,normal
127.20.143.234,100.109.206.91,53996,110,TCP,1393,1.402,18,194,39058,26656,0,0,0,0,1,0,normal
190.216.2.40,27.217.63.215,4077,53,TCP,924,2.833,192,32,33725,43898,1,1,1,0,0,0,normal
13.162.189.208,170.220.88.235,34221,110,TCP,356,0.125,62,126,32109,13057,1,1,1,0,0,0,normal
236.194.210.99,135.163.202.73,55856,23,TCP,256,0.239,9,6,561,422,0,1,0,1,1,0,brute_force
22.135.7.95,178.115.118.208,18691,8080,TCP,797,0.036,753,1,245998,100,1,0,0,0,1,0,ddos
150.227.73.122,236.161.255.17,15248,3306,UDP,1389,9.567,61,165,14523,26684,1,0,1,0,0,0,normal
139.178.98.10,92.102.149.42,60702,25,UDP,517,5.572,149,162,6482,44857,0,1,0,0,1,0,normal
87.235.102.238,211.6.201.45,28957,25,ICMP,468,9.998,147,150,49917,21278,0,1,1,0,1,0,normal
93.46.30.4,149.168.44.146,6675,25,TCP,1361,6.917,112,164,208,28030,1,1,1,0,1,0,normal
